Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AMBC,Ambac Financial Group,18.21,-0.21,-1.14%,18.4,17.87,321315,3/16/21
AMC,Amc Entertainment Holdings Inc,13.02,-1.02,-7.26%,13.62,12.34,125793641,3/16/21
AMCR,Amcor Plc,11.5,-0.26,-2.21%,11.77,11.48,7170973,3/16/21
AMCX,Amc Networks Cl A,76.31,0.14,0.18%,79.41,75.22,473965,3/16/21
AMD,Adv Micro Devices,82.75,0.25,0.30%,84.75,82.25,43039262,3/16/21
AME,Amtek Inc,120.84,-1.94,-1.58%,124.11,120.74,609951,3/16/21
AMED,Amedisys Inc,267.25,-3.49,-1.29%,272.71,266.48,198026,3/16/21
AMG,Affiliated Managers Group,147.74,-1.72,-1.15%,149.7,146.88,471507,3/16/21
AMGN,Amgen Inc,240.32,4.36,1.85%,242.02,236.62,3386583,3/16/21
AMH,American Homes 4 Rent,32.52,-0.05,-0.15%,32.78,32.27,1051544,3/16/21
AMJ,Alerian MLP Index ETN JP Morgan,17.19,-0.32,-1.83%,17.47,17.09,492021,3/16/21
AMKR,Amkor Technology,23.1,-0.3,-1.28%,23.89,22.95,1234495,3/16/21
AMLP,Alps Alerian MLP ETF,31.71,-0.64,-1.98%,32.22,31.55,1816650,3/16/21
AMN,Amn Healthcare Services Inc,75.1,-1.74,-2.26%,76.96,74.81,298939,3/16/21
AMNB,American Natl Bksh,34.82,-1.12,-3.12%,35.68,34.44,19092,3/16/21
AMOT,Allied Motion Tech,53.25,-0.27,-0.50%,54.1,52.79,27160,3/16/21
AMP,Ameriprise Financial Services,221.12,-7.01,-3.07%,227.62,220.4,917777,3/16/21
AMPE,Ampio Pharmaceuticals,1.8,-0.01,-0.55%,2.15,1.72,9012557,3/16/21
AMPH,Amphastar Pharma,18.44,-0.71,-3.71%,19.44,17.72,218862,3/16/21
AMPY,Amplify Energy Corp,3.15,-0.31,-8.96%,3.41,3.11,1119369,3/16/21
AMR,Alpha Metallurgical Resources Inc,11.45,-1.75,-13.26%,13.46,11.13,495165,3/16/21
AMRC,Ameresco Inc,49.52,-0.06,-0.12%,50.76,48.54,700309,3/16/21
AMRN,Amarin Corp Ads,6.48,-0.1,-1.52%,6.65,6.34,3429219,3/16/21
AMRS,Amyris Inc,21.83,-0.51,-2.28%,22.74,20.91,3727453,3/16/21
AMRX,Amneal Pharmaceuticals Inc,6.74,-0.24,-3.44%,7.13,6.7,2318432,3/16/21
AMSC,Amer Superconductor,24.56,-1.14,-4.44%,27.18,24.43,494172,3/16/21
AMSF,Amerisafe Inc,65.19,-0.32,-0.49%,65.99,64.7,72004,3/16/21
AMSWA,Amer Software Inc,21.03,-0.16,-0.76%,21.34,20.85,50855,3/16/21
AMT,American Tower Corp,222.84,4.35,1.99%,223.81,218.5,1929500,3/16/21
AMTX,Aemetis Inc,18.42,-0.79,-4.11%,20.5,18.1,1756869,3/16/21
AMWD,Amer Woodmark Cp,101.82,-3.8,-3.60%,104.31,100.57,94535,3/16/21
AMWL,American Well Corp Cl A,22.02,-0.54,-2.39%,22.69,20.91,7513840,3/16/21
AMX,America Movil S.A.B. DE C.V.,13.84,0.19,1.39%,13.85,13.61,1986559,3/16/21
AMZA,Infracap MLP ETF,25.06,-0.67,-2.60%,25.52,25,120082,3/16/21
AMZN,Amazon.com Inc,3091.86,10.18,0.33%,3128.91,3075.86,2539984,3/16/21
AN,Autonation Inc,89.56,1.73,1.97%,90.09,86.66,879540,3/16/21
ANAB,Anaptysbio Inc,20.7,0.89,4.49%,22.19,20.31,746326,3/16/21
ANAT,Amer Natl Insurance,104.82,-0.08,-0.08%,105.15,102.69,23174,3/16/21
ANDE,Andersons Inc,28.33,-0.49,-1.70%,28.94,28,106901,3/16/21
ANET,Arista Networks Inc,287.03,0.4,0.14%,288.76,284.58,427413,3/16/21
