Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
ESTC,Elastic N.V.,110.93,Technology Services,1356001,9983662000
ET,Energy Transfer LP,7.93,Oil Gas Prod Pipeline MLP,21922955,20619588000
ETN,Eaton Corp,138.69,Machinery - Electrical,2877711,53559904000
ETR,Entergy Corp,98.44,Utility - Electric Power,1802756,19532766000
ETSY,Etsy Inc,202.32,Internet - Services,4038905,25106440000
EVBG,Everbridge Inc,125.87,Internet - Software,509860,4480968000
EVNVY,Evn Ag ADR,4.62,Utility - Electric Power,745,4155191000
EVR,Evercore Partners Inc,129.5,Finance - Investment Brokers,563917,5356671000
EVRG,Evergy Inc,59.14,Other Alt Energy,1970641,13398834000
EVRZF,Evraz Plc Ord,7.52,Steel - Producers,2599,10882859000
EVTCY,Evotec Ag Ads,71.5,Medical - Drugs,615,5882735000
EW,Edwards Lifesciences Corp,82.3,Medical Instruments,2680779,50092664000
EWBC,East West Bancorp,74.18,Banks - West,1144382,10087922000
EXAS,Exact Sciences Cor,126,Medical - Biomedical,1745930,22036202000
EXC,Exelon Corp,43.53,Utility - Electric Power,6065818,41932308000
EXEL,Exelixis Inc,22.69,Medical - Biomedical,1855153,6823221000
EXP,Eagle Materials Inc,131.78,Building - CMT & CNT & AG,380148,5227148000
EXPD,Expeditors Intl,107.8,Transportation - Services,1045788,17314798000
EXPE,Expedia Group Inc,176.45,Internet Commerce,3655517,23901732000
EXPGY,Experian Plc ADR,34.5,Business Information,151167,30793468000
EXPI,Exp Realty International,47.94,Real Estate Operations,2499621,6284738000
EXPO,Exponent Inc,96.58,Consulting,214870,4822953000
EXR,Extra Space Storage Inc,132.59,REIT - Equity Trust Other,900556,17292362000
F,Ford Motor Company,12.3,Auto - Domestic,76455203,48301360000
FAF,First American Corp,57.02,Insurance - Proprty & Casualty,1251055,5889005000
FANG,Diamondback Energy,75.79,Oil - US Exploration & Product,3672875,11754810000
FANUY,Fanuc Ltd Unsp A,24.45,Industrial Robotics,226461,47007464000
FAST,Fastenal Company,50.56,Building Prds Retail - Wsale,4121917,27700468000
FATE,Fate Therapeutics,72.16,Medical - Biomedical,1067472,7688330000
FB,Facebook Inc,283.02,Internet - Services,21933625,8.03E+11
FBHS,Fortune Brands Home & Security,93.99,Retail - Home Furniture,877906,12232882000
FCEL,Fuelcell Energy Inc,13.26,Other Alt Energy,32863527,4030362000
FCN,Fti Consulting,139.63,Consulting,551195,4724231000
FCNCA,First Citizens Bancs,854.53,Banks - Southeast,71434,7617519000
